run,label,step,raw_rollouts,retained_rollouts,aborted_rollouts_estimate,overlong_masked,reward/avg_score,reward/raw_environment_reward,reward/mixed_reward,reward/avg_num_turns,reward/response_tokens,reward/generated_tokens,reward/overlong_rate,reward/response_at_limit,reward/generated_at_limit,reward/response_length_overflow,reward/generated_length_overflow,response/aborted_ratio,response_length/mean,response_length/max,response_length/clip_ratio,response_length_non_aborted/clip_ratio,num_turns/mean,actor/pg_loss,actor/grad_norm,rollout_corr/k3_kl,trace/credit_mask_tokens,trace/k_step_credit_count,perf/throughput,timing_s/step
trace_foldgrpo,Trace+FoldGRPO,68,8,7.0,1.0,0,0.25,0.375,0.375,21.75,13556.5,1095.25,0.0,0.125,0.0,0.0,0.0,0.125,12765.125,32768.0,0.125,0.1428571492433548,11.75,-0.022412586215068586,1.015625,0.009861192578682676,8762,35,845.7020872850609,80.9144272301346
trace_foldgrpo,Trace+FoldGRPO,69,8,5.0,3.0,0,0.25,0.125,0.125,9.25,11703.375,999.0,0.0,0.0,0.0,0.0,0.0,0.375,8248.5,18032.0,0.0,0.0,8.25,-0.00022303833975456655,1.125,0.009991797473048791,7992,28,897.45293226785,50.59652530774474
trace_foldgrpo,Trace+FoldGRPO,70,4,4.0,0,0,0.25,0.25,0.25,7.0,9915.25,1820.75,0.0,0.0,0.0,0.0,0.0,0.0,9915.25,12714.0,0.0,0.0,7.0,0.026030843961052597,0.3671875,0.0015088768559508026,7283,12,778.5456411809034,38.1833747792989
trace_foldgrpo,Trace+FoldGRPO,71,12,11.0,1.0,0,0.5,0.3333333333333333,0.3333333333333333,69.5,17611.166666666668,1080.5833333333333,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,16973.5,29639.0,0.0,0.0,23.916666666666668,0.025784129878350843,1.544921875,0.052269340963296905,12967,122,640.4628159069576,201.6088940575719
trace_foldgrpo,Trace+FoldGRPO,72,8,6.0,2.0,0,0.0,0.0,0.0,13.0,12648.0,1827.375,0.0,0.0,0.0,0.0,0.0,0.25,10397.25,28590.0,0.0,0.0,8.75,-0.003273060732681188,0.609375,0.12462970514025073,14619,27,932.7823315089481,60.56236068345606
trace_foldgrpo,Trace+FoldGRPO,73,8,5.0,3.0,0,0.25,0.125,0.125,11.25,9964.0,1788.5,0.0,0.0,0.0,0.0,0.0,0.375,6476.5,12899.0,0.0,0.0,9.0,0.0014315118605736643,0.5703125,2.5635517858172534,14308,31,789.629104764073,48.42463350109756
trace_foldgrpo,Trace+FoldGRPO,74,8,6.0,2.0,0,0.0,0.0,0.0,15.0,11965.75,2111.625,0.0,0.0,0.0,0.0,0.0,0.25,9513.0,28232.0,0.0,0.0,9.5,-0.0030383878001885023,0.341796875,77.70568674105016,16893,30,810.6758079459798,65.26776731386781
trace_foldgrpo,Trace+FoldGRPO,75,8,8.0,0,0,0.0,0.0,0.0,19.5,14591.875,1134.75,0.0,0.0,0.0,0.0,0.0,0.0,14591.875,25789.0,0.0,0.0,9.75,-0.03372457536170259,1.0,0.0022109870915301144,9078,29,1110.9500912275655,70.39155099540949
trace_foldgrpo,Trace+FoldGRPO,76,8,5.0,3.0,0,0.0,0.0,0.0,11.75,11429.25,2146.5,0.0,0.0,0.0,0.0,0.0,0.375,8485.5,29041.0,0.0,0.0,9.25,-0.04455980728380382,0.80078125,1.1451873017140315,17172,31,732.3514417677764,63.25514958798885
trace_foldgrpo,Trace+FoldGRPO,77,16,15.0,1.0,0,0.0,0.0,0.0,69.75,20863.375,957.6875,0.0,0.1875,0.0,0.0,0.0,0.0625,20213.4375,32768.0,0.1875,0.20000000298023224,17.875,-0.002686832524886995,0.17724609375,0.00334946385009971,15323,75,802.3137477510948,248.15042813122272
trace_foldgrpo,Trace+FoldGRPO,78,12,9.0,3.0,0,0.25,0.16666666666666666,0.16666666666666666,24.25,18623.5,2071.1666666666665,0.0,0.0,0.0,0.0,0.0,0.25,13183.5,27053.0,0.0,0.0,11.5,-0.012139429512899369,1.40625,0.6459215433763651,24854,48,952.1586686076662,106.68547517247498
trace_foldgrpo,Trace+FoldGRPO,79,12,10.0,2.0,0,0.5,0.5833333333333334,0.5833333333333334,39.0,17493.416666666668,1225.6666666666667,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,16543.75,32210.0,0.0,0.0,15.666666666666666,-0.03847183333709836,1.16015625,0.011874305346282199,14708,67,880.9974839103796,140.69222927838564
trace_foldgrpo,Trace+FoldGRPO,80,8,6.0,2.0,0,0.5,0.625,0.375,13.0,16983.875,2053.625,0.0,0.0,0.0,0.0,0.0,0.25,13993.875,31229.0,0.0,0.0,9.5,-0.027528284580512263,0.44140625,0.14999470729526365,16429,30,893.259915863084,79.76065950654447
trace_foldgrpo,Trace+FoldGRPO,81,8,8.0,0,0,0.75,0.75,0.75,21.0,12081.125,912.5,0.0,0.0,0.0,0.0,0.0,0.0,12081.125,28379.0,0.0,0.0,10.5,0.012564796663355082,2.1875,0.002550210127083119,7300,33,962.9994994764305,70.77002639882267
trace_foldgrpo,Trace+FoldGRPO,82,12,9.0,3.0,0,0.25,0.3333333333333333,0.3333333333333333,23.75,13280.083333333334,796.75,0.0,0.0,0.0,0.0,0.0,0.25,10398.0830078125,24439.0,0.0,0.0,10.666666666666666,-0.032751925817744144,1.65625,0.04893445877920991,9561,47,1101.3937359634956,76.8635204974562
trace_foldgrpo,Trace+FoldGRPO,83,8,6.0,2.0,0,0.0,0.0,0.0,16.0,13133.75,756.875,0.0,0.0,0.0,0.0,0.0,0.25,10155.0,28553.0,0.0,0.0,9.75,-0.01123381007982971,0.451171875,0.22618474319460802,6055,32,1019.5732362049494,54.32714201696217
trace_foldgrpo,Trace+FoldGRPO,84,8,6.0,2.0,0,0.0,0.0,0.0,15.5,13158.375,1631.125,0.0,0.0,0.0,0.0,0.0,0.25,11488.125,27719.0,0.0,0.0,11.25,-0.026409942045575008,0.546875,4.157166125614822,13049,34,834.0937968891056,72.9072680156678
trace_foldgrpo,Trace+FoldGRPO,85,12,9.0,3.0,0,0.5,0.6666666666666666,0.4166666666666667,28.25,18920.583333333332,969.9166666666666,0.0,0.0,0.0,0.0,0.0,0.25,11629.0830078125,29166.0,0.0,0.0,11.833333333333334,-0.037752703802349664,0.962890625,0.017042669089278206,11639,53,1122.9563015234328,81.97825674526393
trace_foldgrpo,Trace+FoldGRPO,86,8,6.0,2.0,0,0.25,0.125,0.125,13.5,13070.75,1144.0,0.0,0.0,0.0,0.0,0.0,0.25,11032.0,27667.0,0.0,0.0,10.0,-0.003779837628826499,1.25,0.11393882460833993,9152,32,988.7022384110239,59.69542467594147
trace_foldgrpo,Trace+FoldGRPO,87,16,13.0,3.0,0,0.0,0.0,0.0,56.75,16957.125,2074.5,0.0,0.0625,0.0,0.0,0.0,0.1875,15559.875,32768.0,0.0625,0.07692307978868484,17.25,-0.01247280511961435,0.3232421875,0.3417869152908679,33192,92,831.8621646564618,188.48495178855956
trace_foldgrpo,Trace+FoldGRPO,88,8,8.0,0,0,0.25,0.25,0.25,20.5,13724.125,829.875,0.0,0.0,0.0,0.0,0.0,0.0,13724.125,25655.0,0.0,0.0,10.25,-0.016686895512975752,1.828125,0.0025559053319739178,6639,31,1120.0209404235757,66.8795531373471
trace_foldgrpo,Trace+FoldGRPO,89,8,5.0,3.0,0,0.25,0.25,0.25,11.75,13875.25,3178.125,0.0,0.0,0.0,0.0,0.0,0.375,8036.5,15570.0,0.0,0.0,9.75,-0.04935834358911961,1.5859375,2.253988367934653,25425,34,743.961880535729,59.99299314618111
trace_foldgrpo,Trace+FoldGRPO,90,12,9.0,3.0,0,0.0,0.0,0.0,31.75,15302.416666666666,1408.1666666666667,0.0,0.0,0.0,0.0,0.0,0.25,13272.1669921875,29449.0,0.0,0.0,14.333333333333334,-0.011931097348375866,0.51953125,0.22857492432619134,16898,57,836.399267123157,122.12468854896724
trace_foldgrpo,Trace+FoldGRPO,91,12,9.0,3.0,0,0.5,0.75,0.5,25.25,14733.166666666666,1859.75,0.0,0.0,0.0,0.0,0.0,0.25,13198.9169921875,29729.0,0.0,0.0,12.333333333333334,-0.06177405489142984,1.146484375,0.5056764664623188,22317,51,730.1739363879816,139.23394815064967
trace_foldgrpo,Trace+FoldGRPO,92,8,5.0,3.0,0,0.75,0.875,0.5,10.25,12827.5,2148.875,0.0,0.0,0.0,0.0,0.0,0.375,8910.625,27915.0,0.0,0.0,8.25,-0.018174952812842093,0.5625,0.14811587292933837,17191,27,834.9393276563122,57.64251174405217
trace_foldgrpo,Trace+FoldGRPO,93,12,9.0,3.0,0,0.0,0.0,0.0,26.75,12453.416666666666,1336.75,0.0,0.0,0.0,0.0,0.0,0.25,10376.1669921875,28666.0,0.0,0.0,11.333333333333334,-0.0053259585450481,0.3232421875,0.105693568152977,16041,51,989.7214394216332,85.75392693281174
